Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,307.87314,0.23994255,0.46168584,0.68949866,0.50159514,0.6525578,2001,642,659,700
1,307.8703,0.23994255,0.46168584,0.68949866,0.5015954,0.65255624,2001,642,659,700
2,307.86737,0.23994255,0.46168584,0.6894986,0.5015957,0.6525546,2001,642,659,700
3,307.86453,0.24042147,0.46168584,0.6894986,0.501596,0.652553,2001,642,659,700
4,307.86166,0.24042147,0.46168584,0.68949854,0.5015963,0.6525514,2001,642,659,700
5,307.8588,0.24042147,0.46168584,0.68949854,0.50159657,0.6525498,2001,642,659,700
6,307.85596,0.24042147,0.46168584,0.68949854,0.50159687,0.6525482,2001,642,659,700
7,307.85306,0.24042147,0.46168584,0.68949854,0.50159717,0.6525466,2001,642,659,700
8,307.8502,0.24042147,0.46168584,0.6894985,0.50159746,0.652545,2001,642,659,700
9,307.8473,0.24042147,0.46168584,0.6894985,0.5015977,0.6525433,2001,642,659,700
10,307.84442,0.24042147,0.46168584,0.6894985,0.501598,0.65254176,2001,642,659,700
11,307.8416,0.24042147,0.46168584,0.6894984,0.5015983,0.65254015,2001,642,659,700
12,307.83868,0.24042147,0.46168584,0.68949836,0.50159866,0.65253854,2001,642,659,700
13,307.83585,0.24042147,0.46168584,0.68949836,0.5015989,0.6525369,2001,642,659,700
14,307.833,0.24042147,0.46168584,0.68949836,0.50159925,0.6525353,2001,642,659,700
15,307.83017,0.24042147,0.46168584,0.6894983,0.5015995,0.65253377,2001,642,659,700
16,307.8273,0.24042147,0.46168584,0.6894983,0.5015998,0.65253216,2001,642,659,700
17,307.8244,0.24042147,0.46168584,0.6894983,0.5016001,0.6525305,2001,642,659,700
18,307.82153,0.24042147,0.4612069,0.6894983,0.50160044,0.6525289,2001,642,659,700
19,307.8187,0.24042147,0.4612069,0.6894983,0.50160074,0.6525273,2001,642,659,700
20,307.81583,0.24042147,0.4612069,0.6894983,0.5016009,0.65252566,2001,642,659,700
21,307.81293,0.24042147,0.4612069,0.68949825,0.5016013,0.65252405,2001,642,659,700
22,307.8101,0.24042147,0.4612069,0.6894982,0.5016016,0.6525225,2001,642,659,700
23,307.80722,0.24042147,0.4612069,0.6894982,0.5016018,0.6525209,2001,642,659,700
24,307.80432,0.24042147,0.4612069,0.6894982,0.5016022,0.6525193,2001,642,659,700
25,307.80145,0.24042147,0.4612069,0.6894981,0.5016025,0.6525176,2001,642,659,700
26,307.79865,0.24042147,0.4612069,0.6894981,0.50160277,0.65251607,2001,642,659,700
27,307.79578,0.24042147,0.4612069,0.68949807,0.501603,0.65251446,2001,642,659,700
28,307.7929,0.24042147,0.4612069,0.68949807,0.5016033,0.6525128,2001,642,659,700
29,307.78998,0.24042147,0.4612069,0.68949807,0.5016036,0.6525112,2001,642,659,700
30,307.7871,0.24042147,0.4612069,0.68949807,0.5016039,0.65250957,2001,642,659,700
31,307.78424,0.24042147,0.4612069,0.689498,0.50160426,0.652508,2001,642,659,700
32,307.78137,0.24042147,0.4612069,0.689498,0.5016045,0.65250635,2001,642,659,700
33,307.77856,0.24042147,0.4612069,0.689498,0.5016048,0.65250474,2001,642,659,700
34,307.77563,0.24042147,0.4612069,0.68949795,0.5016051,0.65250313,2001,642,659,700
35,307.77277,0.24042147,0.4612069,0.6894979,0.5016054,0.6525016,2001,642,659,700
36,307.76996,0.24042147,0.4612069,0.6894979,0.5016057,0.6524999,2001,642,659,700
37,307.76706,0.24042147,0.4612069,0.6894979,0.501606,0.65249836,2001,642,659,700
38,307.7642,0.24042147,0.4612069,0.6894978,0.5016063,0.65249676,2001,642,659,700
39,307.7613,0.24042147,0.4612069,0.6894978,0.5016065,0.65249515,2001,642,659,700
40,307.75845,0.24042147,0.4612069,0.6894978,0.5016069,0.6524935,2001,642,659,700
41,307.75558,0.24042147,0.4612069,0.6894978,0.5016072,0.65249187,2001,642,659,700
42,307.75272,0.24042147,0.4612069,0.6894978,0.5016075,0.65249026,2001,642,659,700
43,307.74985,0.24042147,0.4612069,0.68949777,0.5016078,0.65248865,2001,642,659,700
44,307.74695,0.24042147,0.4612069,0.6894977,0.501608,0.65248704,2001,642,659,700
45,307.7441,0.24042147,0.4612069,0.6894977,0.5016083,0.65248543,2001,642,659,700
46,307.74124,0.24042147,0.4612069,0.6894977,0.5016086,0.6524838,2001,642,659,700
47,307.7384,0.24042147,0.4612069,0.6894977,0.5016089,0.6524822,2001,642,659,700
48,307.7355,0.24042147,0.4612069,0.68949765,0.5016092,0.65248066,2001,642,659,700
49,307.7327,0.24042147,0.4612069,0.68949765,0.5016095,0.652479,2001,642,659,700
50,307.72977,0.24042147,0.4612069,0.6894976,0.50160986,0.65247744,2001,642,659,700
51,307.72696,0.24042147,0.4612069,0.6894976,0.5016101,0.6524758,2001,642,659,700
52,307.72403,0.24042147,0.4612069,0.6894976,0.5016104,0.65247416,2001,642,659,700
53,307.72116,0.24042147,0.4612069,0.6894976,0.5016107,0.65247256,2001,642,659,700
54,307.71832,0.24042147,0.4612069,0.68949753,0.501611,0.65247095,2001,642,659,700
55,307.71545,0.24042147,0.4612069,0.68949753,0.5016113,0.65246934,2001,642,659,700
56,307.71255,0.24042147,0.4612069,0.6894974,0.50161153,0.6524677,2001,642,659,700
57,307.70972,0.23994255,0.4612069,0.6894974,0.5016119,0.65246606,2001,642,659,700
58,307.70685,0.23994255,0.4612069,0.6894974,0.5016122,0.6524645,2001,642,659,700
59,307.704,0.23994255,0.4612069,0.6894974,0.5016125,0.65246284,2001,642,659,700
60,307.70108,0.23994255,0.4612069,0.68949735,0.5016128,0.65246123,2001,642,659,700
61,307.6982,0.23994255,0.4612069,0.68949735,0.5016131,0.6524596,2001,642,659,700
62,307.69537,0.23994255,0.4612069,0.68949735,0.5016134,0.6524581,2001,642,659,700
63,307.6925,0.23994255,0.460728,0.68949735,0.5016137,0.6524564,2001,642,659,700
64,307.68967,0.23994255,0.460728,0.6894973,0.501614,0.6524548,2001,642,659,700
65,307.6868,0.23994255,0.460728,0.6894973,0.5016142,0.6524532,2001,642,659,700
66,307.68387,0.23994255,0.460728,0.6894973,0.5016145,0.6524516,2001,642,659,700
67,307.68103,0.23994255,0.460728,0.68949723,0.50161487,0.65244997,2001,642,659,700
68,307.67816,0.23994255,0.460728,0.68949723,0.50161517,0.65244836,2001,642,659,700
69,307.67532,0.23994255,0.460728,0.68949723,0.50161546,0.65244675,2001,642,659,700
70,307.6724,0.23946363,0.460728,0.6894971,0.5016157,0.6524451,2001,642,659,700
71,307.66953,0.23946363,0.460728,0.6894971,0.501616,0.6524435,2001,642,659,700
72,307.66672,0.23946363,0.460728,0.6894971,0.5016163,0.65244186,2001,642,659,700
73,307.66385,0.23946363,0.460728,0.6894971,0.50161666,0.65244025,2001,642,659,700
74,307.66095,0.23946363,0.460728,0.6894971,0.5016169,0.65243864,2001,642,659,700
75,307.6581,0.23946363,0.46024907,0.68949705,0.5016172,0.65243703,2001,642,659,700
76,307.6552,0.23946363,0.46024907,0.68949705,0.5016175,0.65243536,2001,642,659,700
77,307.65234,0.23946363,0.46024907,0.68949705,0.50161785,0.65243375,2001,642,659,700
78,307.64948,0.23946363,0.46024907,0.689497,0.5016181,0.65243214,2001,642,659,700
79,307.64664,0.23946363,0.46024907,0.68949693,0.5016184,0.65243053,2001,642,659,700
80,307.64374,0.23946363,0.46024907,0.68949693,0.5016187,0.6524289,2001,642,659,700
81,307.64084,0.23946363,0.46024907,0.68949693,0.501619,0.65242726,2001,642,659,700
82,307.63797,0.23946363,0.46024907,0.68949693,0.5016193,0.65242565,2001,642,659,700
83,307.6351,0.23946363,0.46024907,0.68949693,0.50161964,0.65242404,2001,642,659,700
84,307.63223,0.23946363,0.46024907,0.6894969,0.5016199,0.65242237,2001,642,659,700
85,307.62936,0.23946363,0.46024907,0.6894969,0.50162023,0.6524208,2001,642,659,700
86,307.6265,0.23946363,0.46024907,0.6894968,0.5016205,0.65241915,2001,642,659,700
87,307.6236,0.23946363,0.46024907,0.6894968,0.50162077,0.65241754,2001,642,659,700
88,307.6207,0.23946363,0.46024907,0.68949676,0.50162107,0.65241593,2001,642,659,700
89,307.61783,0.23946363,0.46024907,0.68949676,0.50162137,0.6524143,2001,642,659,700
90,307.61496,0.23946363,0.46024907,0.6894967,0.50162166,0.6524127,2001,642,659,700
91,307.61212,0.23946363,0.46024907,0.6894967,0.5016219,0.6524111,2001,642,659,700
92,307.60922,0.23946363,0.46024907,0.6894967,0.50162226,0.6524095,2001,642,659,700
93,307.6064,0.23946363,0.46024907,0.6894967,0.50162256,0.6524078,2001,642,659,700
94,307.6035,0.23946363,0.46024907,0.6894967,0.50162286,0.6524063,2001,642,659,700
95,307.60062,0.23946363,0.46024907,0.6894967,0.50162315,0.6524046,2001,642,659,700
96,307.5978,0.23946363,0.46024907,0.6894966,0.5016234,0.652403,2001,642,659,700
97,307.59488,0.23946363,0.46024907,0.6894966,0.50162375,0.6524013,2001,642,659,700
98,307.592,0.23946363,0.46024907,0.6894966,0.501624,0.6523997,2001,642,659,700
99,307.58908,0.23946363,0.46024907,0.6894966,0.50162435,0.65239817,2001,642,659,700
100,307.58627,0.2389847,0.46024907,0.6894965,0.5016246,0.6523965,2001,642,659,700
101,307.58337,0.2389847,0.46024907,0.68949646,0.50162494,0.65239483,2001,642,659,700
102,307.58054,0.2389847,0.46024907,0.68949646,0.50162524,0.6523932,2001,642,659,700
103,307.57767,0.2389847,0.46024907,0.68949646,0.50162554,0.6523916,2001,642,659,700
104,307.5748,0.2389847,0.46024907,0.68949646,0.50162584,0.65239,2001,642,659,700
105,307.57193,0.2389847,0.46024907,0.6894964,0.5016261,0.6523884,2001,642,659,700
