Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
0,271.51456,0.11698115,0.30487806,0.71808124,0.79704833,0.09280374,0.014618671,0.17225064,0.65762883,0.36421835,3.5366527e-05,0.22244163,0.68150634,749,140,219,18,16,24,132,88,7,28,77
1,259.50342,0.11792451,0.30487806,0.71598047,0.79417264,0.09938592,0.017627954,0.1778944,0.64643466,0.3916509,3.6656034e-05,0.22641087,0.6791397,749,140,219,18,16,24,132,88,7,28,77
2,248.7793,0.11792451,0.3058161,0.71364766,0.7910513,0.10621453,0.02163732,0.18393564,0.63437045,0.42051947,3.7908067e-05,0.23036037,0.6767206,749,140,219,18,16,24,132,88,7,28,77
3,240.15807,0.11698115,0.30393994,0.7112764,0.78759605,0.11249614,0.026991159,0.19034283,0.6251369,0.44074452,3.911026e-05,0.23424149,0.6742996,749,140,219,18,16,24,132,88,7,28,77
4,232.1761,0.11603773,0.3058161,0.70882034,0.7836412,0.118665256,0.034076393,0.19706683,0.6182624,0.45442417,4.0252744e-05,0.2380563,0.671869,749,140,219,18,16,24,132,88,7,28,77
5,224.06372,0.11509436,0.30393994,0.70609885,0.77907115,0.12524146,0.04320713,0.20404796,0.61269474,0.46470547,4.1327065e-05,0.24175878,0.6694741,749,140,219,18,16,24,132,88,7,28,77
6,215.70795,0.11509436,0.30300188,0.7034744,0.7733153,0.13116734,0.054462053,0.21125281,0.6082915,0.47334984,4.2328204e-05,0.24541417,0.6670651,749,140,219,18,16,24,132,88,7,28,77
7,207.04782,0.11509436,0.30300188,0.70077306,0.7663761,0.13697404,0.06750615,0.21871506,0.60445714,0.48157394,4.3256412e-05,0.24902701,0.66461474,749,140,219,18,16,24,132,88,7,28,77
8,198.82172,0.11415094,0.3001876,0.69792455,0.7585049,0.14325182,0.08162762,0.22635056,0.60077965,0.48966512,4.4105145e-05,0.25259763,0.6620978,749,140,219,18,16,24,132,88,7,28,77
9,191.76176,0.11509436,0.3001876,0.69528997,0.75169367,0.14880133,0.09593859,0.23413436,0.59756696,0.4953635,4.4879594e-05,0.25612742,0.6595228,749,140,219,18,16,24,132,88,7,28,77
10,185.32086,0.11415094,0.3001876,0.69265926,0.7456148,0.1543494,0.10967775,0.24195571,0.59481895,0.49949086,4.558676e-05,0.25966904,0.65695083,749,140,219,18,16,24,132,88,7,28,77
11,179.3298,0.11226416,0.29924953,0.689876,0.7397976,0.16034298,0.122704506,0.24983948,0.59241605,0.5028809,4.6227902e-05,0.2632627,0.6542741,749,140,219,18,16,24,132,88,7,28,77
12,173.87215,0.11226416,0.29924953,0.687317,0.7341298,0.16563481,0.13495184,0.25774455,0.5902523,0.5058535,4.681412e-05,0.26680326,0.65154296,749,140,219,18,16,24,132,88,7,28,77
13,168.80945,0.111320734,0.29924953,0.6847084,0.72869533,0.17084728,0.14644992,0.26567295,0.58832914,0.5083997,4.734904e-05,0.2702741,0.64876693,749,140,219,18,16,24,132,88,7,28,77
14,164.0982,0.111320734,0.29924953,0.6819202,0.72372365,0.17659593,0.15645693,0.27350414,0.5865492,0.51064026,4.7838843e-05,0.27367866,0.6459375,749,140,219,18,16,24,132,88,7,28,77
15,159.72195,0.11226416,0.3001876,0.67934966,0.7189483,0.18164897,0.16595782,0.2811911,0.5850121,0.5124962,4.8284834e-05,0.277049,0.6430287,749,140,219,18,16,24,132,88,7,28,77
16,155.54816,0.11037737,0.3001876,0.67667955,0.71436775,0.18659371,0.1749914,0.2889358,0.5836031,0.5141099,4.8698457e-05,0.28035277,0.6400647,749,140,219,18,16,24,132,88,7,28,77
17,151.5242,0.10943395,0.3011257,0.6737788,0.7099309,0.1920121,0.1835728,0.2964603,0.5823712,0.5154201,4.908248e-05,0.2836289,0.6372493,749,140,219,18,16,24,132,88,7,28,77
18,147.70383,0.10943395,0.30206376,0.67095184,0.70567214,0.1968822,0.19181406,0.30380335,0.5812618,0.516569,4.944304e-05,0.28684282,0.6344799,749,140,219,18,16,24,132,88,7,28,77
19,144.00139,0.10943395,0.30206376,0.6681163,0.7015579,0.20152739,0.19975558,0.31110114,0.58034116,0.5173658,4.9785864e-05,0.2900071,0.6316671,749,140,219,18,16,24,132,88,7,28,77
20,140.26353,0.11037737,0.30487806,0.6649667,0.6975381,0.20713726,0.20757957,0.31837282,0.5794195,0.5180889,5.0120023e-05,0.29308861,0.6288222,749,140,219,18,16,24,132,88,7,28,77
21,136.65015,0.11037737,0.30393994,0.6619749,0.6937234,0.21184611,0.21543068,0.32550973,0.5783709,0.5186951,5.0450682e-05,0.29613325,0.62602776,749,140,219,18,16,24,132,88,7,28,77
22,132.99384,0.111320734,0.30487806,0.65897405,0.6898783,0.2166405,0.22362037,0.33257252,0.5773478,0.5192478,5.077976e-05,0.29910943,0.6231628,749,140,219,18,16,24,132,88,7,28,77
23,129.19873,0.11226416,0.3058161,0.65558463,0.6860334,0.22239736,0.23219056,0.33944583,0.57631963,0.5198494,5.111154e-05,0.3020465,0.62030894,749,140,219,18,16,24,132,88,7,28,77
24,125.33843,0.11226416,0.3058161,0.65228057,0.68201476,0.22742319,0.2419344,0.34624422,0.5753171,0.5203863,5.1441148e-05,0.30494258,0.6175166,749,140,219,18,16,24,132,88,7,28,77
25,121.27376,0.11226416,0.3058161,0.6488794,0.6776987,0.23248203,0.25350484,0.3529156,0.5743848,0.5208301,5.1772517e-05,0.30780745,0.614692,749,140,219,18,16,24,132,88,7,28,77
26,116.90771,0.11226416,0.30675423,0.6450828,0.67289156,0.2385771,0.2678007,0.35930184,0.5734814,0.5212617,5.211053e-05,0.31066683,0.6119888,749,140,219,18,16,24,132,88,7,28,77
27,112.37911,0.11226416,0.30675423,0.6412702,0.66741747,0.24407813,0.28578675,0.36561838,0.5727256,0.5214746,5.245732e-05,0.31346032,0.60941255,749,140,219,18,16,24,132,88,7,28,77
28,107.77972,0.11226416,0.30675423,0.63740265,0.6612029,0.24957585,0.30812985,0.37176338,0.57198465,0.5217049,5.2822095e-05,0.31622785,0.6067798,749,140,219,18,16,24,132,88,7,28,77
29,103.3448,0.11226416,0.3058161,0.63316727,0.65438265,0.25614792,0.3338763,0.37763658,0.571385,0.52178866,5.3202497e-05,0.31898397,0.60418105,749,140,219,18,16,24,132,88,7,28,77
30,99.5939,0.11415094,0.3058161,0.62899697,0.64774585,0.26210248,0.35938677,0.38319755,0.5708187,0.5218909,5.3609845e-05,0.32166,0.6017439,749,140,219,18,16,24,132,88,7,28,77
31,96.53031,0.11415094,0.3058161,0.6250279,0.6420144,0.26813674,0.37990052,0.3883228,0.57043767,0.5218158,5.4038886e-05,0.32428327,0.5992223,749,140,219,18,16,24,132,88,7,28,77
32,93.86732,0.11415094,0.30675423,0.62065494,0.63760555,0.27497673,0.39394712,0.3933282,0.57007194,0.52178174,5.4504108e-05,0.32690597,0.5967137,749,140,219,18,16,24,132,88,7,28,77
33,91.450775,0.11415094,0.3076923,0.61639947,0.6340728,0.28150833,0.4028181,0.39817783,0.5699554,0.5215076,5.4998654e-05,0.32946023,0.59428644,749,140,219,18,16,24,132,88,7,28,77
34,89.08953,0.11415094,0.30675423,0.6119945,0.6310074,0.28812158,0.40863478,0.4029201,0.5700108,0.52114767,5.554041e-05,0.33198318,0.5919776,749,140,219,18,16,24,132,88,7,28,77
35,86.661545,0.11415094,0.30675423,0.6074551,0.62801564,0.29507,0.41313088,0.4075377,0.5700875,0.52069074,5.6121477e-05,0.33437133,0.5897523,749,140,219,18,16,24,132,88,7,28,77
36,84.139656,0.11320752,0.3076923,0.6032199,0.62462777,0.30158472,0.4175958,0.41214976,0.56998986,0.52040416,5.6757377e-05,0.33671808,0.58738315,749,140,219,18,16,24,132,88,7,28,77
