Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
0,0.212464973,0.69492954,0.562026381,0.805402577,0.667880714,0.621125996,482,91,99,96,97,99,0.25999999,0
1,0.212428704,0.694922924,0.562027931,0.805399656,0.667879462,0.621125877,482,91,99,96,97,99,0.25999999,0
2,0.212392092,0.694916546,0.562029481,0.805396616,0.667878151,0.621125638,482,91,99,96,97,99,0.258000016,0
3,0.212356195,0.694910347,0.56203115,0.805393517,0.667876899,0.621125519,482,91,99,96,97,99,0.258000016,0
4,0.212319002,0.694904089,0.562032878,0.805390179,0.667875469,0.6211254,482,91,99,96,97,99,0.258000016,0
5,0.212280646,0.694897592,0.562034547,0.805386841,0.667874038,0.62112534,482,91,99,96,97,99,0.258000016,0
6,0.212240979,0.694890857,0.562036395,0.805383384,0.667872548,0.621125281,482,91,99,96,97,99,0.258000016,0
7,0.212200522,0.694883704,0.562038183,0.805379868,0.667871058,0.621125102,482,91,99,96,97,99,0.258000016,0
8,0.212158769,0.694876373,0.562040091,0.805376291,0.667869508,0.621124864,482,91,99,96,97,99,0.258000016,0
9,0.212115541,0.694868684,0.562042058,0.805372536,0.667867899,0.621124744,482,91,99,96,97,99,0.258000016,0.001999974
10,0.21207194,0.694860935,0.562044144,0.805368721,0.66786629,0.621124625,482,91,99,96,97,99,0.258000016,0.001999974
11,0.212028876,0.694853365,0.56204623,0.805365026,0.667864621,0.621124506,482,91,99,96,97,99,0.258000016,0.001999974
12,0.211984262,0.694845557,0.562048376,0.805360973,0.667862952,0.621124327,482,91,99,96,97,99,0.258000016,0.001999974
13,0.211937979,0.694837272,0.562050581,0.805356681,0.667861164,0.621124089,482,91,99,96,97,99,0.258000016,0.001999974
14,0.211890891,0.694829226,0.562052906,0.80535239,0.667859316,0.62112397,482,91,99,96,97,99,0.255999982,0.001999974
15,0.21184288,0.694821239,0.562055349,0.805347741,0.667857468,0.62112385,482,91,99,96,97,99,0.254000008,0.001999974
16,0.211793169,0.694812775,0.562057793,0.805342972,0.667855501,0.621123731,482,91,99,96,97,99,0.254000008,0.001999974
17,0.211741522,0.694804072,0.562060416,0.805337906,0.667853415,0.621123552,482,91,99,96,97,99,0.254000008,0.005999982
18,0.211688235,0.694795132,0.562063098,0.805332661,0.667851388,0.621123433,482,91,99,96,97,99,0.254000008,0.005999982
19,0.211634547,0.694785714,0.562065959,0.805327415,0.667849183,0.621123254,482,91,99,96,97,99,0.254000008,0.005999982
20,0.211579859,0.694776475,0.56206888,0.805321991,0.667847097,0.621123075,482,91,99,96,97,99,0.254000008,0.005999982
21,0.211524412,0.694767058,0.5620718,0.805316508,0.667844713,0.621122777,482,91,99,96,97,99,0.254000008,0.005999982
22,0.211468086,0.694757402,0.5620749,0.805311024,0.667842269,0.621122599,482,91,99,96,97,99,0.254000008,0.005999982
23,0.2114117,0.694747984,0.562078059,0.805305481,0.667839825,0.621122301,482,91,99,96,97,99,0.251999974,0.005999982
24,0.211353183,0.694738269,0.562081337,0.805299461,0.667837262,0.621122062,482,91,99,96,97,99,0.251999974,0.005999982
25,0.21129249,0.694728255,0.562084794,0.805293262,0.66783464,0.621121824,482,91,99,96,97,99,0.251999974,0.005999982
26,0.211230278,0.694718301,0.562088311,0.805286586,0.667831838,0.621121526,482,91,99,96,97,99,0.251999974,0.005999982
27,0.211168423,0.694708586,0.562091827,0.805279911,0.667828977,0.621121287,482,91,99,96,97,99,0.251999974,0.005999982
28,0.2111056,0.694699347,0.562095463,0.805272877,0.667826056,0.621121049,482,91,99,96,97,99,0.251999974,0.008000016
29,0.211040556,0.69468981,0.562099218,0.805265665,0.667823017,0.621120811,482,91,99,96,97,99,0.255999982,0.008000016
