Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
0,112.72032,0.08200002,0.28399998,0.6992265,0.588346,0.8070829,0.6679513,0.6450887,482,91,100,95,97,99
1,112.72017,0.08200002,0.28399998,0.6992262,0.58834606,0.80708283,0.6679512,0.6450886,482,91,100,95,97,99
2,112.720024,0.08200002,0.28399998,0.6992259,0.5883461,0.8070827,0.6679511,0.6450886,482,91,100,95,97,99
3,112.719864,0.08200002,0.28399998,0.69922554,0.5883461,0.8070826,0.667951,0.6450886,482,91,100,95,97,99
4,112.719696,0.08200002,0.28399998,0.6992253,0.5883462,0.8070825,0.6679508,0.64508855,482,91,100,95,97,99
5,112.71954,0.08200002,0.28399998,0.69922495,0.58834624,0.8070824,0.6679508,0.6450885,482,91,100,95,97,99
6,112.71939,0.08200002,0.28399998,0.6992246,0.5883463,0.80708236,0.66795063,0.6450885,482,91,100,95,97,99
7,112.71921,0.08200002,0.28399998,0.69922435,0.5883463,0.8070822,0.6679505,0.6450885,482,91,100,95,97,99
8,112.71906,0.08200002,0.28399998,0.69922394,0.58834636,0.807082,0.6679505,0.64508843,482,91,100,95,97,99
9,112.7189,0.08200002,0.28399998,0.69922364,0.5883464,0.8070818,0.66795033,0.64508843,482,91,100,95,97,99
10,112.71875,0.08200002,0.28399998,0.6992233,0.5883465,0.8070818,0.6679502,0.64508843,482,91,100,95,97,99
11,112.7186,0.08200002,0.28399998,0.699223,0.58834654,0.8070817,0.6679501,0.6450884,482,91,100,95,97,99
12,112.718445,0.08200002,0.28399998,0.6992226,0.5883466,0.8070815,0.66795003,0.6450884,482,91,100,95,97,99
13,112.71829,0.08200002,0.28399998,0.6992223,0.58834666,0.80708146,0.66795,0.64508826,482,91,100,95,97,99
14,112.718124,0.08200002,0.28399998,0.699222,0.58834666,0.80708134,0.66794986,0.64508826,482,91,100,95,97,99
15,112.717964,0.08200002,0.28399998,0.69922173,0.58834666,0.8070812,0.66794974,0.64508826,482,91,100,95,97,99
16,112.717804,0.08200002,0.28399998,0.6992214,0.5883467,0.8070811,0.66794956,0.6450882,482,91,100,95,97,99
