Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,99.4596,0.04000002,0.38200003,0.7592978,0.25642097,407,284,123
1,94.80257,0.04000002,0.38200003,0.750888,0.26498982,407,284,123
2,90.11176,0.041999996,0.38200003,0.7420522,0.27401584,407,284,123
3,85.39079,0.041999996,0.38200003,0.7327612,0.28352544,407,284,123
4,80.6366,0.041999996,0.38200003,0.72297025,0.29356056,407,284,123
5,75.85702,0.041999996,0.38200003,0.7126427,0.30414444,407,284,123
6,71.020134,0.041999996,0.38200003,0.7016326,0.3154229,407,284,123
7,66.16359,0.041999996,0.38200003,0.6899336,0.32738918,407,284,123
8,61.48272,0.041999996,0.38200003,0.6779507,0.33964923,407,284,123
9,56.778534,0.041999996,0.384,0.6651582,0.3526545,407,284,123
10,52.356136,0.041999996,0.384,0.65247905,0.36552137,407,284,123
11,48.21547,0.04000002,0.384,0.6400271,0.3780694,407,284,123
12,44.462627,0.041999996,0.38599998,0.62823045,0.38986087,407,284,123
13,41.17981,0.041999996,0.38599998,0.6173894,0.40064213,407,284,123
14,38.430042,0.041999996,0.384,0.6078487,0.4101034,407,284,123
15,36.14751,0.041999996,0.38599998,0.59949845,0.41835445,407,284,123
16,34.33303,0.041999996,0.38599998,0.59279037,0.42506313,407,284,123
17,32.85182,0.041999996,0.38599998,0.58734185,0.43053848,407,284,123
18,31.63206,0.041999996,0.38599998,0.58298695,0.4349441,407,284,123
19,30.63422,0.041999996,0.38599998,0.57961684,0.4383475,407,284,123
20,29.81672,0.041999996,0.38599998,0.57689095,0.44110557,407,284,123
21,29.145504,0.041999996,0.38599998,0.5745411,0.44348294,407,284,123
22,28.56734,0.041999996,0.38599998,0.5722667,0.4457782,407,284,123
23,28.101643,0.041999996,0.38599998,0.5704402,0.44764683,407,284,123
24,27.708103,0.041999996,0.38599998,0.5688382,0.44928348,407,284,123
25,27.362907,0.041999996,0.38599998,0.5673448,0.45079133,407,284,123
26,27.07921,0.041999996,0.388,0.56618595,0.45197242,407,284,123
27,26.832134,0.041999996,0.388,0.56517875,0.45300013,407,284,123
28,26.616657,0.041999996,0.388,0.5643188,0.45386833,407,284,123
29,26.420334,0.041999996,0.388,0.5634414,0.45477143,407,284,123
30,26.255177,0.041999996,0.388,0.5627516,0.45552784,407,284,123
31,26.11449,0.041999996,0.388,0.5622426,0.45606443,407,284,123
32,25.976543,0.041999996,0.39,0.5617183,0.45662704,407,284,123
33,25.853712,0.041999996,0.388,0.5613453,0.45700902,407,284,123
34,25.737015,0.041999996,0.388,0.5610575,0.45725524,407,284,123
35,25.621496,0.041999996,0.388,0.56085575,0.45742023,407,284,123
36,25.505451,0.041999996,0.388,0.56080526,0.45737392,407,284,123
37,25.386843,0.041999996,0.38599998,0.561018,0.456958,407,284,123
38,25.24464,0.041999996,0.38599998,0.56138515,0.456257,407,284,123
39,25.116686,0.041999996,0.38599998,0.5621543,0.45494065,407,284,123
40,25.048216,0.041999996,0.38599998,0.56302804,0.4534727,407,284,123
41,24.987751,0.041999996,0.384,0.56320465,0.45301616,407,284,123
42,24.926846,0.041999996,0.384,0.56309146,0.45303404,407,284,123
43,24.866343,0.041999996,0.384,0.5629358,0.4531427,407,284,123
