Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6,TestingError,TrainingError
0,0.2395889014005661,0.8077613115310669,0.18645517528057098,0.8087575435638428,0.5008212924003601,0.6610352396965027,0.7434936761856079,1670,209,89,484,284,92,512,0.11221635341644287,0.015231609344482422
1,0.2248454988002777,0.8069854378700256,0.1864403933286667,0.80638587474823,0.5016233921051025,0.6611565947532654,0.7409211993217468,1670,209,89,484,284,92,512,0.11190551519393921,0.014920711517333984
2,0.21125254034996033,0.8061666488647461,0.18642644584178925,0.8037273287773132,0.5024446845054626,0.6612735986709595,0.738288402557373,1670,209,89,484,284,92,512,0.11066210269927979,0.014609873294830322
3,0.19871488213539124,0.8053118586540222,0.18641343712806702,0.8008006811141968,0.5032719373703003,0.661385178565979,0.7356523275375366,1670,209,89,484,284,92,512,0.1097295880317688,0.014920711517333984
4,0.18721993267536163,0.8044280409812927,0.18640141189098358,0.7976593971252441,0.5040755867958069,0.6614899635314941,0.7330424785614014,1670,209,89,484,284,92,512,0.10879701375961304,0.014920711517333984
5,0.17685720324516296,0.8035222887992859,0.18639054894447327,0.7943553924560547,0.5048480033874512,0.6615888476371765,0.7304944396018982,1670,209,89,484,284,92,512,0.10941869020462036,0.014609873294830322
6,0.16751070320606232,0.8026025295257568,0.18638111650943756,0.7909253239631653,0.5056044459342957,0.6616800427436829,0.7280031442642212,1670,209,89,484,284,92,512,0.10848617553710938,0.015231609344482422
7,0.15913613140583038,0.8016760349273682,0.18637318909168243,0.7874171137809753,0.5063354969024658,0.6617628931999207,0.7255898714065552,1670,209,89,484,284,92,512,0.10817533731460571,0.014920711517333984
8,0.1516815721988678,0.8007678985595703,0.18636704981327057,0.7839035987854004,0.5070199966430664,0.6618354916572571,0.7232788801193237,1670,209,89,484,284,92,512,0.10755360126495361,0.014920711517333984
9,0.1450522541999817,0.7999446988105774,0.18636293709278107,0.780405580997467,0.5076569318771362,0.6618896722793579,0.7210848331451416,1670,209,89,484,284,92,512,0.10848617553710938,0.015231609344482422
10,0.13913045823574066,0.7991262674331665,0.1863611787557602,0.7769629955291748,0.5082722902297974,0.6619375944137573,0.7189911603927612,1670,209,89,484,284,92,512,0.10879701375961304,0.015231609344482422
11,0.1338178813457489,0.798316478729248,0.18636201322078705,0.7735934257507324,0.5088430047035217,0.661979615688324,0.717013955116272,1670,209,89,484,284,92,512,0.10879701375961304,0.014609873294830322
12,0.12902194261550903,0.7975186705589294,0.18636591732501984,0.770317018032074,0.5093637108802795,0.6620157957077026,0.7151703834533691,1670,209,89,484,284,92,512,0.1091078519821167,0.01429903507232666
13,0.12467289716005325,0.7967347502708435,0.18637330830097198,0.7671483755111694,0.5098530054092407,0.6620468497276306,0.7134145498275757,1670,209,89,484,284,92,512,0.1097295880317688,0.01429903507232666
14,0.12070159614086151,0.7959665060043335,0.18638424575328827,0.7640882730484009,0.5103107690811157,0.6620730757713318,0.711741030216217,1670,209,89,484,284,92,512,0.1097295880317688,0.01429903507232666
15,0.11705753952264786,0.7952147126197815,0.1863992065191269,0.7611433863639832,0.5107253193855286,0.6620948910713196,0.710183322429657,1670,209,89,484,284,92,512,0.10941869020462036,0.013988196849822998
16,0.11369608342647552,0.7944794297218323,0.1864181011915207,0.7583211660385132,0.5111021399497986,0.6621132493019104,0.7087180614471436,1670,209,89,484,284,92,512,0.10879701375961304,0.013988196849822998
17,0.11057896912097931,0.7937605977058411,0.18644072115421295,0.7556474208831787,0.5114558339118958,0.6621031165122986,0.7073080539703369,1670,209,89,484,284,92,512,0.10879701375961304,0.013677358627319336
18,0.10766739398241043,0.7930567860603333,0.1864662617444992,0.7530805468559265,0.5117760896682739,0.6620670557022095,0.7060035467147827,1670,209,89,484,284,92,512,0.10879701375961304,0.013677358627319336
19,0.10492555052042007,0.7923668026924133,0.18649356067180634,0.7506133317947388,0.5120629668235779,0.6620296239852905,0.7047821283340454,1670,209,89,484,284,92,512,0.10879701375961304,0.013677358627319336
20,0.10232603549957275,0.7916885614395142,0.18652035295963287,0.7482380270957947,0.5123366713523865,0.6619914770126343,0.7036184072494507,1670,209,89,484,284,92,512,0.10848617553710938,0.013677358627319336
21,0.09986203908920288,0.7910192608833313,0.18654437363147736,0.745947003364563,0.5126023888587952,0.6619536876678467,0.7025213241577148,1670,209,89,484,284,92,512,0.10879701375961304,0.013988196849822998
22,0.09750581532716751,0.7903565764427185,0.18656301498413086,0.7437348365783691,0.5128563642501831,0.6619153022766113,0.7014695405960083,1670,209,89,484,284,92,512,0.10848617553710938,0.013988196849822998
23,0.09526845812797546,0.7896972298622131,0.18657439947128296,0.741597592830658,0.5130935311317444,0.6618772745132446,0.7004884481430054,1670,209,89,484,284,92,512,0.10848617553710938,0.013677358627319336
24,0.0931391492486,0.7890382409095764,0.18657739460468292,0.7395333051681519,0.5133172869682312,0.6618425846099854,0.6995607018470764,1670,209,89,484,284,92,512,0.10879701375961304,0.013988196849822998
25,0.09110899269580841,0.7883774042129517,0.18657201528549194,0.7375376224517822,0.5135387778282166,0.6618088483810425,0.6986680626869202,1670,209,89,484,284,92,512,0.10817533731460571,0.013988196849822998
26,0.08917462825775146,0.7877123355865479,0.18655900657176971,0.735603392124176,0.513744056224823,0.6617765426635742,0.697834849357605,1670,209,89,484,284,92,512,0.10786449909210205,0.013988196849822998
27,0.08732590079307556,0.7870417237281799,0.18653962016105652,0.733729362487793,0.5139396786689758,0.6617456674575806,0.6970378160476685,1670,209,89,484,284,92,512,0.10755360126495361,0.013988196849822998
28,0.08555622398853302,0.7863641977310181,0.18651501834392548,0.7319157123565674,0.5141264200210571,0.661716639995575,0.6962754130363464,1670,209,89,484,284,92,512,0.10786449909210205,0.01429903507232666
29,0.08387286961078644,0.7856796979904175,0.18648630380630493,0.7301535606384277,0.5142859816551208,0.6617037057876587,0.6955716609954834,1670,209,89,484,284,92,512,0.10755360126495361,0.01429903507232666
30,0.08225669711828232,0.7849887609481812,0.1864546239376068,0.7284480333328247,0.5144429802894592,0.6616783738136292,0.6948884725570679,1670,209,89,484,284,92,512,0.10755360126495361,0.01429903507232666
31,0.08073114603757858,0.7842919826507568,0.18642058968544006,0.7267957329750061,0.51457679271698,0.6616695523262024,0.6942570209503174,1670,209,89,484,284,92,512,0.10817533731460571,0.01429903507232666
32,0.07926925271749496,0.7835906744003296,0.18638502061367035,0.7251850366592407,0.5147103667259216,0.6616616249084473,0.6936535835266113,1670,209,89,484,284,92,512,0.10817533731460571,0.01429903507232666
33,0.07785878330469131,0.7828863859176636,0.18634821474552155,0.7236136198043823,0.5148383378982544,0.661656379699707,0.6930738091468811,1670,209,89,484,284,92,512,0.10817533731460571,0.014920711517333984
34,0.07650692760944366,0.7821802496910095,0.18631073832511902,0.7220900058746338,0.5149508118629456,0.6616523861885071,0.6925414800643921,1670,209,89,484,284,92,512,0.10786449909210205,0.014609873294830322
35,0.07520224899053574,0.781474232673645,0.18627287447452545,0.7206026315689087,0.5150661468505859,0.6616493463516235,0.6920186281204224,1670,209,89,484,284,92,512,0.10817533731460571,0.014920711517333984
36,0.07394659519195557,0.7807692885398865,0.18623483180999756,0.7191562056541443,0.5151621699333191,0.6616479158401489,0.6915441751480103,1670,209,89,484,284,92,512,0.10817533731460571,0.015542447566986084
37,0.07272862643003464,0.7800670862197876,0.18619683384895325,0.7177332043647766,0.5152596235275269,0.6616475582122803,0.691087007522583,1670,209,89,484,284,92,512,0.10879701375961304,0.016164124011993408
38,0.07154878228902817,0.7793684005737305,0.18615899980068207,0.7163547277450562,0.5153455138206482,0.6616483926773071,0.6906497478485107,1670,209,89,484,284,92,512,0.10879701375961304,0.01647496223449707
39,0.07040861248970032,0.778674840927124,0.1861213743686676,0.7150019407272339,0.5154262781143188,0.6616496443748474,0.6902467012405396,1670,209,89,484,284,92,512,0.10879701375961304,0.01647496223449707
40,0.06930314749479294,0.7779866456985474,0.18608425557613373,0.7136883735656738,0.5155015587806702,0.6616512537002563,0.6898487210273743,1670,209,89,484,284,92,512,0.10879701375961304,0.01647496223449707
41,0.06824338436126709,0.7773047685623169,0.1860475242137909,0.7124242782592773,0.5155588984489441,0.6616418361663818,0.6894707679748535,1670,209,89,484,284,92,512,0.10879701375961304,0.01647496223449707
42,0.06721537560224533,0.7766295671463013,0.1860111951828003,0.7111881971359253,0.5156113505363464,0.6616448163986206,0.6891286373138428,1670,209,89,484,284,92,512,0.10879701375961304,0.016164124011993408
43,0.06621192395687103,0.7759615778923035,0.18597550690174103,0.7099749445915222,0.5156571269035339,0.6616479754447937,0.6888041496276855,1670,209,89,484,284,92,512,0.10848617553710938,0.016164124011993408
