Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
0,572.3707,0.015231609,0.11097294,0.8040401,0.22218008,0.8103731,0.50119674,0.64865565,0.7459047,1670,209,89,484,284,92,512
1,566.241,0.015542448,0.110351264,0.79951644,0.27513012,0.8099379,0.5019888,0.63297766,0.7457392,1670,209,89,484,284,92,512
2,560.5107,0.015231609,0.1106621,0.794922,0.22591864,0.8094857,0.50243396,0.64171934,0.74553174,1670,209,89,484,284,92,512
3,555.2515,0.015231609,0.11097294,0.790265,0.2629668,0.8090158,0.5026219,0.6305524,0.74528235,1670,209,89,484,284,92,512
4,549.8525,0.015231609,0.1106621,0.7855542,0.22571824,0.8085308,0.5026406,0.6370628,0.74498767,1670,209,89,484,284,92,512
5,544.6596,0.015231609,0.11097294,0.7807996,0.25782597,0.808028,0.5025365,0.62748736,0.7446517,1670,209,89,484,284,92,512
6,539.2958,0.015231609,0.1106621,0.77601165,0.22571793,0.80750203,0.50234574,0.63311994,0.74427444,1670,209,89,484,284,92,512
7,534.077,0.015542448,0.110040426,0.7712004,0.25570968,0.8069484,0.50209284,0.6243046,0.7438532,1670,209,89,484,284,92,512
8,528.6902,0.015542448,0.10972959,0.76637614,0.22579798,0.80636597,0.5017916,0.6296392,0.74338704,1670,209,89,484,284,92,512
9,523.45044,0.015542448,0.10972959,0.7615479,0.25534397,0.8057577,0.50145304,0.62111545,0.7428762,1670,209,89,484,284,92,512
10,518.0518,0.015231609,0.10910785,0.75672454,0.225823,0.8051191,0.5010968,0.6265215,0.7423116,1670,209,89,484,284,92,512
11,512.79193,0.015231609,0.108797014,0.7519136,0.2561842,0.80444676,0.5007206,0.6179501,0.7416966,1670,209,89,484,284,92,512
12,507.3562,0.015542448,0.108486176,0.7471214,0.22567514,0.80373746,0.500332,0.62371486,0.7410255,1670,209,89,484,284,92,512
13,502.0931,0.015542448,0.108797014,0.74241894,0.25794053,0.8029939,0.49993756,0.6147974,0.74029833,1670,209,89,484,284,92,512
