Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,2302.8486,0.07193631,0.09866363,0.1238811,0.9550575,2923,176,2747
1,2301.0752,0.07193631,0.09866363,0.12423969,0.9549064,2923,176,2747
2,2299.294,0.071651995,0.098379314,0.12459931,0.9547543,2923,176,2747
3,2297.5044,0.07136762,0.09809494,0.12495989,0.9546012,2923,176,2747
4,2295.7063,0.07108331,0.097810626,0.12532139,0.95444727,2923,176,2747
5,2293.9011,0.07108331,0.09752631,0.12568381,0.9542923,2923,176,2747
6,2292.0886,0.07108331,0.09724194,0.12604712,0.95413655,2923,176,2747
7,2290.2678,0.07108331,0.09667331,0.12641123,0.9539798,2923,176,2747
8,2288.4417,0.07079899,0.096388996,0.126776,0.9538223,2923,176,2747
9,2286.606,0.07079899,0.096388996,0.12714186,0.95366377,2923,176,2747
10,2284.7603,0.07079899,0.096388996,0.12750883,0.95350397,2923,176,2747
11,2282.9048,0.070230305,0.09610462,0.1278769,0.9533433,2923,176,2747
12,2281.041,0.070230305,0.09582031,0.128246,0.9531813,2923,176,2747
13,2279.17,0.070230305,0.09553599,0.12861586,0.9530187,2923,176,2747
14,2277.2878,0.070230305,0.09553599,0.12898691,0.95285475,2923,176,2747
15,2275.3977,0.070230305,0.094967306,0.12935904,0.9526897,2923,176,2747
16,2273.4968,0.070230305,0.094967306,0.12973243,0.9525234,2923,176,2747
17,2271.5854,0.06994599,0.094967306,0.13010679,0.95235604,2923,176,2747
18,2269.6653,0.06994599,0.09468299,0.13048252,0.95218754,2923,176,2747
19,2267.7341,0.06994599,0.09468299,0.1308595,0.9520178,2923,176,2747
20,2265.7917,0.06994599,0.09439862,0.13123776,0.9518468,2923,176,2747
21,2263.8386,0.06966162,0.09439862,0.13161732,0.95167446,2923,176,2747
22,2261.875,0.06966162,0.09439862,0.13199824,0.9515009,2923,176,2747
23,2259.8992,0.06966162,0.09439862,0.13238055,0.9513259,2923,176,2747
24,2257.9116,0.06966162,0.09382999,0.13276426,0.9511496,2923,176,2747
25,2255.9114,0.0693773,0.093545616,0.13314997,0.95097184,2923,176,2747
26,2253.9,0.0693773,0.093545616,0.13353707,0.95079273,2923,176,2747
27,2251.8792,0.0693773,0.093545616,0.13392545,0.9506125,2923,176,2747
28,2249.8489,0.06909299,0.0932613,0.13431525,0.950431,2923,176,2747
29,2247.8047,0.0693773,0.09297699,0.1347066,0.95024794,2923,176,2747
30,2245.7505,0.0693773,0.09297699,0.13509941,0.95006377,2923,176,2747
31,2243.6848,0.06909299,0.09297699,0.13549381,0.9498781,2923,176,2747
32,2241.607,0.0685243,0.09297699,0.13588978,0.94969106,2923,176,2747
33,2239.5132,0.0685243,0.0924083,0.13629265,0.94950235,2923,176,2747
34,2237.398,0.0685243,0.09183961,0.13670479,0.94931126,2923,176,2747
35,2235.2712,0.0676713,0.09183961,0.13711847,0.9491187,2923,176,2747
36,2233.133,0.0676713,0.0915553,0.13753389,0.9489248,2923,176,2747
37,2230.9807,0.0676713,0.0915553,0.13795115,0.94872904,2923,176,2747
38,2228.8137,0.067386985,0.09183961,0.13837023,0.94853175,2923,176,2747
39,2226.6326,0.067386985,0.0915553,0.13879119,0.94833285,2923,176,2747
40,2224.437,0.0676713,0.09098661,0.13921402,0.94813216,2923,176,2747
41,2222.2253,0.0676713,0.09098661,0.13963939,0.9479295,2923,176,2747
42,2219.9968,0.067386985,0.090702295,0.14006725,0.947725,2923,176,2747
43,2217.751,0.067386985,0.09013361,0.14049727,0.9475186,2923,176,2747
44,2215.4902,0.06653398,0.08984929,0.14092933,0.94731027,2923,176,2747
45,2213.2146,0.06624967,0.08956498,0.14136352,0.94710016,2923,176,2747
46,2210.922,0.06624967,0.08956498,0.1417998,0.94688815,2923,176,2747
47,2208.6143,0.06624967,0.089280665,0.14223832,0.9466742,2923,176,2747
48,2206.2915,0.065965295,0.08871198,0.14267892,0.94645846,2923,176,2747
49,2203.9531,0.065965295,0.08871198,0.1431215,0.9462409,2923,176,2747
50,2201.5972,0.06568098,0.08842766,0.14356679,0.94602126,2923,176,2747
51,2199.224,0.06482798,0.08842766,0.14401428,0.9457995,2923,176,2747
52,2196.834,0.06482798,0.08842766,0.1444647,0.94557565,2923,176,2747
53,2194.4258,0.06482798,0.08757466,0.14491749,0.94534963,2923,176,2747
54,2192.0002,0.06482798,0.08729029,0.14537257,0.9451217,2923,176,2747
55,2189.5583,0.06482798,0.08700597,0.14582978,0.9448916,2923,176,2747
56,2187.1006,0.06482798,0.08700597,0.14628915,0.94465965,2923,176,2747
57,2184.625,0.06482798,0.08672166,0.1467508,0.9444255,2923,176,2747
58,2182.1316,0.06482798,0.08672166,0.1472149,0.9441893,2923,176,2747
59,2179.6184,0.06425929,0.08672166,0.1476816,0.94395065,2923,176,2747
60,2177.0886,0.06425929,0.08672166,0.14815082,0.9437099,2923,176,2747
61,2174.538,0.06425929,0.08672166,0.1486225,0.9434667,2923,176,2747
62,2171.9702,0.06425929,0.08672166,0.14909706,0.9432215,2923,176,2747
63,2169.3835,0.06397498,0.08615297,0.14957415,0.9429741,2923,176,2747
64,2166.7793,0.06397498,0.08615297,0.15005381,0.94272447,2923,176,2747
65,2164.167,0.06369066,0.08615297,0.15053445,0.9424735,2923,176,2747
66,2161.5325,0.06369066,0.08615297,0.15101789,0.94222,2923,176,2747
67,2158.8801,0.06340629,0.08615297,0.15150389,0.94196427,2923,176,2747
68,2156.2107,0.06340629,0.08615297,0.15199223,0.9417065,2923,176,2747
69,2153.519,0.06340629,0.08615297,0.15248354,0.94144607,2923,176,2747
70,2150.8054,0.063121974,0.08615297,0.15297776,0.941183,2923,176,2747
71,2148.0679,0.063121974,0.08615297,0.15347542,0.9409171,2923,176,2747
72,2145.3071,0.06283766,0.08558428,0.15397607,0.94064844,2923,176,2747
73,2142.5247,0.06283766,0.085015655,0.15447944,0.94037706,2923,176,2747
74,2139.7178,0.06255329,0.085015655,0.15498592,0.9401029,2923,176,2747
75,2136.8872,0.062268972,0.08473128,0.15549578,0.9398259,2923,176,2747
76,2134.0337,0.06198466,0.08416265,0.15600906,0.9395461,2923,176,2747
77,2131.1558,0.061700284,0.08416265,0.1565254,0.93926346,2923,176,2747
78,2128.2537,0.061700284,0.083593965,0.1570449,0.9389779,2923,176,2747
79,2125.3281,0.061700284,0.08330965,0.15756708,0.93868953,2923,176,2747
80,2122.3796,0.061700284,0.08330965,0.15809193,0.9383984,2923,176,2747
81,2119.407,0.06141597,0.08302528,0.15861994,0.93810433,2923,176,2747
82,2116.4087,0.06141597,0.08274096,0.15915097,0.9378073,2923,176,2747
83,2113.3855,0.06141597,0.08245665,0.1596849,0.9375074,2923,176,2747
84,2110.3367,0.06141597,0.08245665,0.16022187,0.93720424,2923,176,2747
85,2107.2627,0.061131656,0.082172334,0.16076197,0.93689805,2923,176,2747
86,2104.1604,0.061131656,0.082172334,0.16130541,0.9365886,2923,176,2747
87,2101.028,0.06141597,0.08188796,0.16185234,0.9362755,2923,176,2747
88,2097.868,0.061131656,0.08131933,0.1624025,0.9359591,2923,176,2747
89,2094.6777,0.060847342,0.08131933,0.16295618,0.93563914,2923,176,2747
90,2091.4597,0.060847342,0.080750644,0.16351289,0.9353158,2923,176,2747
91,2088.2126,0.05999434,0.08103496,0.1640727,0.9349889,2923,176,2747
92,2084.9287,0.05999434,0.080750644,0.16463655,0.93465793,2923,176,2747
93,2081.6184,0.05999434,0.080750644,0.16520366,0.93432367,2923,176,2747
94,2078.2773,0.059709966,0.08046633,0.16577463,0.9339857,2923,176,2747
95,2074.905,0.059709966,0.08018196,0.16634955,0.93364406,2923,176,2747
96,2071.4998,0.059709966,0.07989764,0.16692814,0.9332984,2923,176,2747
97,2068.0613,0.059709966,0.07989764,0.1675107,0.9329489,2923,176,2747
98,2064.5835,0.059709966,0.07961333,0.16809851,0.9325948,2923,176,2747
99,2061.0762,0.059709966,0.079328954,0.1686896,0.9322371,2923,176,2747
100,2057.537,0.059425652,0.079328954,0.16928433,0.9318754,2923,176,2747
101,2053.9734,0.059425652,0.07904464,0.169882,0.9315107,2923,176,2747
102,2050.3765,0.058856964,0.07847595,0.1704833,0.93114185,2923,176,2747
103,2046.7461,0.05857265,0.07847595,0.17108804,0.9307687,2923,176,2747
104,2043.0839,0.05857265,0.07847595,0.17169641,0.9303919,2923,176,2747
105,2039.382,0.05857265,0.07847595,0.17230877,0.9300105,2923,176,2747
106,2035.6393,0.058003962,0.07847595,0.17292555,0.929624,2923,176,2747
107,2031.8527,0.057719648,0.077907324,0.17355059,0.9292322,2923,176,2747
108,2028.029,0.057435334,0.077907324,0.17417961,0.92883587,2923,176,2747
109,2024.1694,0.057435334,0.077907324,0.17481199,0.9284351,2923,176,2747
110,2020.2756,0.05715096,0.07762295,0.1754477,0.92802995,2923,176,2747
111,2016.3429,0.05715096,0.07762295,0.17608784,0.92762005,2923,176,2747
112,2012.3741,0.056866646,0.07762295,0.17673184,0.92720574,2923,176,2747
113,2008.3646,0.056866646,0.077338636,0.17738014,0.92678636,2923,176,2747
114,2004.3142,0.056013644,0.077338636,0.17803317,0.92636186,2923,176,2747
115,2000.2268,0.05572933,0.077338636,0.1786905,0.9259327,2923,176,2747
116,1996.0974,0.05572933,0.07762295,0.17935196,0.92549825,2923,176,2747
117,1991.9214,0.05572933,0.07762295,0.18001765,0.9250582,2923,176,2747
118,1987.7097,0.055444956,0.07676995,0.18068643,0.9246138,2923,176,2747
119,1983.4551,0.054591954,0.07676995,0.18135978,0.9241638,2923,176,2747
120,1979.1527,0.054023325,0.07676995,0.18203785,0.92370796,2923,176,2747
121,1974.8036,0.05373901,0.076485634,0.1827207,0.9232463,2923,176,2747
122,1970.4076,0.05373901,0.07676995,0.18340817,0.92277867,2923,176,2747
123,1965.9618,0.05373901,0.076485634,0.18410045,0.9223048,2923,176,2747
124,1961.4663,0.05373901,0.076485634,0.18479729,0.9218247,2923,176,2747
125,1956.918,0.054023325,0.076485634,0.18549928,0.92133784,2923,176,2747
126,1952.3163,0.05373901,0.076485634,0.18620636,0.92084414,2923,176,2747
127,1947.6656,0.052601635,0.076485634,0.1869183,0.9203441,2923,176,2747
128,1942.969,0.05288601,0.076485634,0.18763374,0.9198383,2923,176,2747
129,1938.2247,0.052601635,0.076485634,0.18835354,0.91932625,2923,176,2747
130,1933.4235,0.05231732,0.076485634,0.18907894,0.91880673,2923,176,2747
131,1928.5691,0.05231732,0.07620132,0.18980989,0.91828024,2923,176,2747
132,1923.6562,0.052033007,0.075916946,0.19054647,0.917746,2923,176,2747
133,1918.6879,0.052033007,0.075916946,0.19128786,0.9172046,2923,176,2747
134,1913.6593,0.052033007,0.07620132,0.19203573,0.9166552,2923,176,2747
135,1908.5717,0.052033007,0.07620132,0.19278932,0.9160978,2923,176,2747
136,1903.4186,0.05146432,0.07620132,0.19354922,0.915532,2923,176,2747
137,1898.2032,0.05146432,0.07563263,0.1943147,0.91495764,2923,176,2747
138,1892.9237,0.05146432,0.07534832,0.19508559,0.91437453,2923,176,2747
139,1887.5769,0.05146432,0.075064,0.19586296,0.9137823,2923,176,2747
140,1882.1681,0.05146432,0.07477963,0.19664548,0.91318154,2923,176,2747
