Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,84.13792,0.13266581,0.4493116,0.64346004,0.5705033,0.2837061,698,337,281,80
1,83.61869,0.13266581,0.4493116,0.6430766,0.5704237,0.28443882,698,337,281,80
2,83.10012,0.13266581,0.4493116,0.6426901,0.57034653,0.2851674,698,337,281,80
3,82.58231,0.13266581,0.4493116,0.6423009,0.5702717,0.2858923,698,337,281,80
4,82.06535,0.13266581,0.4493116,0.6419089,0.5701991,0.28661355,698,337,281,80
5,81.548935,0.13266581,0.4505632,0.64151216,0.57013017,0.28733128,698,337,281,80
6,81.033646,0.13266581,0.4505632,0.64111257,0.57006365,0.2880456,698,337,281,80
7,80.52041,0.13266581,0.4505632,0.64070994,0.5700006,0.2887521,698,337,281,80
8,80.00915,0.13266581,0.4505632,0.64030486,0.5699402,0.28945208,698,337,281,80
9,79.49948,0.13266581,0.4505632,0.63989717,0.5698819,0.2901488,698,337,281,80
10,78.99158,0.13266581,0.45181477,0.63948697,0.5698258,0.2908424,698,337,281,80
11,78.48504,0.13266581,0.45181477,0.6390713,0.56977385,0.29153228,698,337,281,80
12,77.98044,0.13266581,0.45181477,0.6386529,0.56972384,0.29221916,698,337,281,80
13,77.47806,0.13266581,0.45181477,0.63823223,0.5696761,0.29290318,698,337,281,80
14,76.97793,0.13266581,0.4505632,0.63780916,0.56963015,0.29358435,698,337,281,80
15,76.480484,0.13266581,0.4505632,0.63738453,0.5695858,0.2942628,698,337,281,80
16,75.98577,0.13266581,0.4505632,0.6369579,0.56954324,0.29493833,698,337,281,80
17,75.49379,0.13266581,0.4505632,0.6365295,0.5695023,0.29561132,698,337,281,80
18,75.005035,0.13266581,0.4505632,0.6360991,0.5694638,0.29628056,698,337,281,80
19,74.52093,0.13266581,0.4505632,0.6356667,0.56942904,0.29694298,698,337,281,80
20,74.03992,0.13266581,0.4505632,0.635233,0.56939566,0.29760265,698,337,281,80
21,73.56217,0.13266581,0.4505632,0.63479775,0.56936365,0.29825997,698,337,281,80
22,73.087776,0.13266581,0.4493116,0.63436115,0.56933314,0.29891473,698,337,281,80
23,72.61703,0.13266581,0.4493116,0.6339235,0.569304,0.29956663,698,337,281,80
24,72.150154,0.13391739,0.4480601,0.63348526,0.56927586,0.30021596,698,337,281,80
25,71.68693,0.13391739,0.4493116,0.63304603,0.56924874,0.3008628,698,337,281,80
26,71.22752,0.13391739,0.4493116,0.63260597,0.5692229,0.30150717,698,337,281,80
27,70.77204,0.13391739,0.4493116,0.6321652,0.56919813,0.30214903,698,337,281,80
28,70.32047,0.13391739,0.45181477,0.6317238,0.56917435,0.3027885,698,337,281,80
29,69.87304,0.13391739,0.4493116,0.6312822,0.5691513,0.3034255,698,337,281,80
30,69.43069,0.13391739,0.4493116,0.63084453,0.56912625,0.30405992,698,337,281,80
31,68.99239,0.13391739,0.4493116,0.6304027,0.5691061,0.30468863,698,337,281,80
32,68.55796,0.13391739,0.4493116,0.62996,0.56908786,0.30531508,698,337,281,80
33,68.12768,0.13391739,0.4493116,0.6295174,0.5690703,0.3059398,698,337,281,80
34,67.70192,0.13391739,0.4493116,0.6290754,0.56905293,0.3065622,698,337,281,80
35,67.2806,0.13516897,0.4493116,0.62863386,0.569036,0.30718192,698,337,281,80
36,66.86305,0.13516897,0.4493116,0.62819034,0.5690215,0.30779928,698,337,281,80
37,66.4498,0.13516897,0.4493116,0.62774706,0.56900775,0.30841422,698,337,281,80
38,66.040924,0.13516897,0.4493116,0.6273044,0.56899416,0.30902678,698,337,281,80
39,65.63647,0.13516897,0.4493116,0.6268624,0.56898093,0.3096369,698,337,281,80
40,65.23644,0.13391739,0.4480601,0.62642133,0.5689681,0.3102445,698,337,281,80
41,64.84079,0.13391739,0.4480601,0.6259812,0.56895536,0.3108499,698,337,281,80
42,64.4495,0.13391739,0.4480601,0.62554216,0.56894267,0.3114527,698,337,281,80
43,64.06302,0.13391739,0.4480601,0.6251041,0.5689309,0.31205186,698,337,281,80
44,63.683037,0.13266581,0.4480601,0.6246674,0.568922,0.3126417,698,337,281,80
45,63.307346,0.13266581,0.4480601,0.6242319,0.56891304,0.31322926,698,337,281,80
46,62.935814,0.13266581,0.4480601,0.62379766,0.56890404,0.31381452,698,337,281,80
47,62.568584,0.13266581,0.4480601,0.6233648,0.568895,0.3143974,698,337,281,80
48,62.20556,0.13266581,0.4493116,0.6229334,0.5688859,0.31497782,698,337,281,80
49,61.846615,0.13266581,0.4493116,0.62250346,0.56887674,0.31555623,698,337,281,80
50,61.49179,0.13266581,0.4493116,0.6220752,0.56886744,0.316132,698,337,281,80
51,61.14094,0.13266581,0.4493116,0.62164855,0.5688575,0.31670606,698,337,281,80
52,60.791225,0.13266581,0.4493116,0.6212249,0.5688425,0.31728858,698,337,281,80
53,60.44619,0.13266581,0.4493116,0.62080485,0.5688263,0.31786993,698,337,281,80
54,60.105534,0.13266581,0.4480601,0.62038785,0.56881,0.3184467,698,337,281,80
55,59.768353,0.13266581,0.4480601,0.6199714,0.56879324,0.3190233,698,337,281,80
56,59.43524,0.13266581,0.44680852,0.6195573,0.5687765,0.319596,698,337,281,80
57,59.106697,0.13266581,0.44680852,0.6191497,0.56875604,0.32016748,698,337,281,80
58,58.78086,0.13266581,0.44680852,0.61873865,0.5687387,0.32073656,698,337,281,80
59,58.4589,0.13266581,0.44680852,0.6183304,0.5687209,0.32130215,698,337,281,80
60,58.141113,0.13266581,0.4480601,0.61792445,0.56870294,0.32186303,698,337,281,80
61,57.825123,0.13266581,0.4480601,0.6175179,0.56868804,0.32241622,698,337,281,80
62,57.514553,0.13266581,0.4480601,0.61711633,0.5686694,0.32297167,698,337,281,80
63,57.205185,0.13266581,0.4480601,0.6167127,0.5686538,0.32352164,698,337,281,80
64,56.90173,0.13266581,0.4480601,0.6163158,0.56863433,0.3240708,698,337,281,80
65,56.598907,0.13266581,0.4480601,0.61591566,0.56861794,0.3246176,698,337,281,80
66,56.30352,0.13266581,0.4480601,0.615527,0.56859624,0.3251605,698,337,281,80
67,56.008434,0.13266581,0.4480601,0.6151334,0.56857896,0.32570195,698,337,281,80
68,55.719788,0.1314143,0.4480601,0.614748,0.56855756,0.3262384,698,337,281,80
69,55.430836,0.1314143,0.4480601,0.6143581,0.56853974,0.32677478,698,337,281,80
70,55.148376,0.1314143,0.4480601,0.6139762,0.5685179,0.32730657,698,337,281,80
71,54.865345,0.1314143,0.4480601,0.6135902,0.56849945,0.3278382,698,337,281,80
72,54.588474,0.1314143,0.4480601,0.6132115,0.5684772,0.32836574,698,337,281,80
73,54.31145,0.1314143,0.4480601,0.6128292,0.56845766,0.32889307,698,337,281,80
74,54.04034,0.1314143,0.4480601,0.6124541,0.5684354,0.3294149,698,337,281,80
75,53.768196,0.1314143,0.4480601,0.6120728,0.5684167,0.32993954,698,337,281,80
76,53.503155,0.1314143,0.4480601,0.61170256,0.5683936,0.3304541,698,337,281,80
77,53.23622,0.1314143,0.44680852,0.6113245,0.5683739,0.33097562,698,337,281,80
78,52.977615,0.1314143,0.44555694,0.61095965,0.56835026,0.33148313,698,337,281,80
79,52.717136,0.1314143,0.44555694,0.6105875,0.5683295,0.33200067,698,337,281,80
80,52.46396,0.1314143,0.44555694,0.610226,0.56830585,0.33250406,698,337,281,80
81,52.20852,0.13016272,0.44555694,0.6098565,0.568285,0.3330163,698,337,281,80
82,51.957355,0.13016272,0.44555694,0.60949266,0.5682641,0.33351642,698,337,281,80
83,51.709404,0.13016272,0.44555694,0.6091323,0.56823957,0.33402306,698,337,281,80
84,51.462887,0.13016272,0.44555694,0.6087715,0.5682178,0.3345198,698,337,281,80
85,51.2195,0.13016272,0.44555694,0.60841453,0.56819266,0.33502203,698,337,281,80
86,50.977554,0.13016272,0.44555694,0.6080573,0.5681702,0.33551472,698,337,281,80
87,50.73861,0.13016272,0.44555694,0.6077037,0.5681442,0.33601287,698,337,281,80
88,50.50156,0.13016272,0.44555694,0.60735476,0.56811786,0.3365024,698,337,281,80
89,50.267334,0.13016272,0.44555694,0.60700524,0.56809086,0.3369953,698,337,281,80
90,50.033115,0.1314143,0.44430536,0.6066529,0.56806797,0.3374818,698,337,281,80
91,49.80382,0.1314143,0.44430536,0.6063073,0.5680414,0.33796725,698,337,281,80
92,49.57413,0.1314143,0.44430536,0.6059575,0.5680187,0.33844957,698,337,281,80
93,49.34988,0.1314143,0.44180226,0.6056156,0.5679937,0.3389241,698,337,281,80
94,49.124012,0.1314143,0.44180226,0.6052676,0.56797135,0.3394031,698,337,281,80
95,48.90314,0.1314143,0.44180226,0.604929,0.5679452,0.33987513,698,337,281,80
96,48.68122,0.1314143,0.44180226,0.6045838,0.567923,0.3403488,698,337,281,80
97,48.464302,0.1314143,0.44180226,0.6042488,0.56789565,0.3408169,698,337,281,80
98,48.245445,0.1314143,0.44180226,0.6039062,0.56787264,0.34128898,698,337,281,80
99,48.032642,0.1314143,0.44180226,0.6035745,0.56784534,0.34175056,698,337,281,80
