Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3,TestingError,TrainingError
0,0.04800930246710777,0.5600016117095947,0.5831776857376099,0.4314226806163788,2406,795,1095,516,0.4352797269821167,0.22131484746932983
1,0.04750533029437065,0.5599867105484009,0.5831314325332642,0.43146684765815735,2406,795,1095,516,0.4356880187988281,0.22131484746932983
2,0.04699975252151489,0.5599709153175354,0.5830860733985901,0.4315112829208374,2406,795,1095,516,0.4352797269821167,0.22131484746932983
3,0.04651464894413948,0.5599529147148132,0.583041250705719,0.4315565228462219,2406,795,1095,516,0.4352797269821167,0.22049814462661743
4,0.04603707417845726,0.559935450553894,0.5829975605010986,0.43160146474838257,2406,795,1095,516,0.4344630241394043,0.22049814462661743
5,0.045561883598566055,0.5599179267883301,0.5829518437385559,0.43164822459220886,2406,795,1095,516,0.4348713755607605,0.22049814462661743
6,0.04509184509515762,0.5599009990692139,0.5829054713249207,0.4316958785057068,2406,795,1095,516,0.4344630241394043,0.22049814462661743
7,0.04463028535246849,0.5598844885826111,0.5828568935394287,0.4317454993724823,2406,795,1095,516,0.4348713755607605,0.2196815013885498
8,0.044167980551719666,0.559868335723877,0.5828085541725159,0.43179482221603394,2406,795,1095,516,0.4348713755607605,0.2196815013885498
9,0.0437101311981678,0.559851884841919,0.5827599763870239,0.43184366822242737,2406,795,1095,516,0.4356880187988281,0.220089852809906
10,0.04326298460364342,0.5598317384719849,0.5827122330665588,0.43189433217048645,2406,795,1095,516,0.4344630241394043,0.220089852809906
11,0.0428265742957592,0.5598128437995911,0.5826607942581177,0.43194809556007385,2406,795,1095,516,0.4356880187988281,0.220089852809906
12,0.04238956421613693,0.5597955584526062,0.5826103687286377,0.43199974298477173,2406,795,1095,516,0.4356880187988281,0.22049814462661743
13,0.041967231780290604,0.5597795248031616,0.5825594663619995,0.4320501387119293,2406,795,1095,516,0.4360963702201843,0.22090649604797363
14,0.04155552759766579,0.5597639083862305,0.5825060606002808,0.4321019947528839,2406,795,1095,516,0.4360963702201843,0.22131484746932983
15,0.04114887863397598,0.5597499012947083,0.5824534296989441,0.4321521818637848,2406,795,1095,516,0.4360963702201843,0.22131484746932983
16,0.0407523512840271,0.5597361326217651,0.5824001431465149,0.4322029650211334,2406,795,1095,516,0.4356880187988281,0.22172313928604126
17,0.04037554934620857,0.5597237348556519,0.5823466181755066,0.43225154280662537,2406,795,1095,516,0.4352797269821167,0.22090649604797363
18,0.039999689906835556,0.5597116351127625,0.5822938084602356,0.43229940533638,2406,795,1095,516,0.4344630241394043,0.22090649604797363
19,0.03963936120271683,0.5597007274627686,0.5822415947914124,0.4323452413082123,2406,795,1095,516,0.4344630241394043,0.22090649604797363
