Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,131.0563,0.23315638,0.44834626,0.55512655,0.59002054,0.42116833,2419,805,1095,519
1,130.56825,0.23274803,0.44834626,0.5549927,0.58991975,0.42138666,2419,805,1095,519
2,130.08125,0.23274803,0.44834626,0.5548591,0.5898184,0.42160583,2419,805,1095,519
3,129.59534,0.23274803,0.44834626,0.5547256,0.58971643,0.42182666,2419,805,1095,519
4,129.11055,0.23274803,0.4475296,0.55459225,0.58961344,0.42204982,2419,805,1095,519
5,128.62738,0.23233974,0.4475296,0.55446005,0.58950955,0.42227325,2419,805,1095,519
6,128.14642,0.23233974,0.4475296,0.5543279,0.589405,0.42249793,2419,805,1095,519
7,127.66538,0.23193139,0.4475296,0.55419564,0.5892992,0.42272466,2419,805,1095,519
8,127.18806,0.23193139,0.4475296,0.5540636,0.5891936,0.42295066,2419,805,1095,519
9,126.71365,0.2315231,0.44712126,0.5539316,0.5890884,0.42317605,2419,805,1095,519
10,126.24296,0.2315231,0.44712126,0.55380005,0.58898365,0.42340076,2419,805,1095,519
11,125.77521,0.23111475,0.44712126,0.5536685,0.588879,0.42362466,2419,805,1095,519
12,125.30952,0.23111475,0.4475296,0.55353725,0.5887741,0.4238491,2419,805,1095,519
13,124.8455,0.23111475,0.4475296,0.55340594,0.58866906,0.42407283,2419,805,1095,519
14,124.38303,0.2315231,0.4475296,0.5532744,0.5885644,0.42429563,2419,805,1095,519
15,123.922356,0.23111475,0.4479379,0.5531428,0.58845973,0.42451775,2419,805,1095,519
16,123.46138,0.23193139,0.44834626,0.553011,0.5883544,0.42474002,2419,805,1095,519
17,123.00038,0.23193139,0.44834626,0.55288094,0.588248,0.42496273,2419,805,1095,519
18,122.54077,0.23193139,0.4479379,0.55275047,0.58814245,0.42518368,2419,805,1095,519
19,122.078186,0.23193139,0.4479379,0.55261964,0.58803546,0.425407,2419,805,1095,519
20,121.61478,0.23193139,0.4479379,0.5524883,0.5879284,0.42562968,2419,805,1095,519
21,121.15045,0.23193139,0.4475296,0.5523571,0.58782053,0.4258533,2419,805,1095,519
22,120.68599,0.23193139,0.4475296,0.552223,0.5877141,0.42607778,2419,805,1095,519
23,120.21981,0.23111475,0.44712126,0.55208755,0.5876074,0.42630422,2419,805,1095,519
24,119.750305,0.23111475,0.44712126,0.551951,0.58749926,0.42653337,2419,805,1095,519
25,119.28191,0.2315231,0.44712126,0.55181307,0.58739156,0.42676312,2419,805,1095,519
26,118.813255,0.23193139,0.44712126,0.55167365,0.587283,0.42699608,2419,805,1095,519
27,118.34645,0.23193139,0.44712126,0.5515334,0.58717334,0.42723045,2419,805,1095,519
28,117.89056,0.23193139,0.4475296,0.55139166,0.5870674,0.42746043,2419,805,1095,519
29,117.42885,0.23193139,0.44712126,0.5512416,0.5869619,0.4276944,2419,805,1095,519
30,116.96368,0.23193139,0.44712126,0.5510879,0.5868554,0.42793027,2419,805,1095,519
31,116.50943,0.23193139,0.44712126,0.5509326,0.5867495,0.4281665,2419,805,1095,519
32,116.06983,0.2315231,0.44630462,0.550779,0.58664393,0.4284002,2419,805,1095,519
33,115.64678,0.23193139,0.44671297,0.5506268,0.58654094,0.4286281,2419,805,1095,519
34,115.23632,0.23193139,0.44630462,0.55047816,0.58643687,0.42885348,2419,805,1095,519
35,114.8388,0.23193139,0.44589627,0.5503318,0.58633393,0.4290736,2419,805,1095,519
36,114.454285,0.2315231,0.44589627,0.55018854,0.5862326,0.42928696,2419,805,1095,519
37,114.07957,0.23111475,0.44548798,0.5500492,0.58613133,0.42949462,2419,805,1095,519
38,113.71417,0.23111475,0.44548798,0.5499116,0.58603245,0.42969653,2419,805,1095,519
39,113.35672,0.23111475,0.44589627,0.5497785,0.58593327,0.42989346,2419,805,1095,519
40,113.00415,0.2307064,0.44589627,0.5496469,0.5858353,0.43008584,2419,805,1095,519
41,112.65761,0.2307064,0.44589627,0.5495188,0.5857375,0.4302734,2419,805,1095,519
42,112.31337,0.2302981,0.44548798,0.5493921,0.58563995,0.43045762,2419,805,1095,519
43,111.97037,0.2302981,0.44548798,0.5492663,0.5855421,0.43063954,2419,805,1095,519
44,111.63219,0.22988975,0.44589627,0.5491434,0.5854445,0.4308177,2419,805,1095,519
45,111.293495,0.22988975,0.44548798,0.5490209,0.5853463,0.43099514,2419,805,1095,519
46,110.95678,0.22988975,0.44507962,0.5489005,0.5852476,0.4311698,2419,805,1095,519
47,110.623,0.2302981,0.44467127,0.5487802,0.5851502,0.43134174,2419,805,1095,519
48,110.29156,0.2302981,0.44426298,0.5486613,0.58505327,0.4315102,2419,805,1095,519
49,109.95899,0.2302981,0.44507962,0.548542,0.5849556,0.43167958,2419,805,1095,519
50,109.63023,0.2302981,0.44507962,0.54842466,0.5848585,0.43184465,2419,805,1095,519
51,109.30215,0.22988975,0.44507962,0.5483079,0.58476126,0.43200967,2419,805,1095,519
52,108.97274,0.22988975,0.44467127,0.54819024,0.58466333,0.4321755,2419,805,1095,519
53,108.64732,0.22988975,0.44467127,0.5480742,0.5845663,0.4323369,2419,805,1095,519
54,108.32043,0.22988975,0.44467127,0.54795694,0.5844691,0.43249935,2419,805,1095,519
55,107.99504,0.22988975,0.44467127,0.5478408,0.5843716,0.43266037,2419,805,1095,519
56,107.67137,0.2294814,0.44467127,0.54772395,0.584275,0.43281963,2419,805,1095,519
57,107.34699,0.2294814,0.44467127,0.54760784,0.58417714,0.43297967,2419,805,1095,519
58,107.0248,0.22988975,0.44467127,0.5474909,0.5840807,0.43313742,2419,805,1095,519
59,106.70421,0.2307064,0.44467127,0.5473751,0.58398396,0.43329477,2419,805,1095,519
60,106.38818,0.2302981,0.44467127,0.54725885,0.58388984,0.4334444,2419,805,1095,519
61,106.07455,0.2302981,0.44467127,0.5471419,0.5837975,0.43359134,2419,805,1095,519
62,105.75699,0.2302981,0.44507962,0.54702663,0.5837011,0.43374556,2419,805,1095,519
63,105.44506,0.2294814,0.44507962,0.546909,0.5836095,0.43389124,2419,805,1095,519
64,105.13602,0.22988975,0.44507962,0.54679126,0.58351976,0.43403417,2419,805,1095,519
65,104.827225,0.2294814,0.44507962,0.5466719,0.583431,0.4341775,2419,805,1095,519
66,104.51352,0.22988975,0.44507962,0.54655385,0.5833376,0.43432802,2419,805,1095,519
67,104.205376,0.22988975,0.44630462,0.5464355,0.5832471,0.43447012,2419,805,1095,519
68,103.89615,0.22988975,0.44630462,0.5463152,0.5831569,0.43461376,2419,805,1095,519
69,103.587204,0.22988975,0.44671297,0.5461958,0.58306515,0.43475676,2419,805,1095,519
70,103.28029,0.2290731,0.44630462,0.5460751,0.58297485,0.43489957,2419,805,1095,519
71,102.96744,0.2290731,0.44671297,0.54595566,0.5828792,0.43505147,2419,805,1095,519
72,102.65983,0.2290731,0.44630462,0.5458341,0.5827875,0.43519637,2419,805,1095,519
73,102.35358,0.2290731,0.44548798,0.54571205,0.58269656,0.43533888,2419,805,1095,519
74,102.04835,0.2290731,0.44548798,0.5455914,0.58260417,0.4354825,2419,805,1095,519
75,101.73924,0.2290731,0.44548798,0.5454696,0.5825093,0.43563384,2419,805,1095,519
76,101.43771,0.2282564,0.44507962,0.54534715,0.58241886,0.43577445,2419,805,1095,519
77,101.13504,0.2282564,0.44507962,0.54522383,0.58232766,0.43591702,2419,805,1095,519
78,100.83573,0.2282564,0.44467127,0.54510146,0.58223706,0.43605742,2419,805,1095,519
79,100.53191,0.2282564,0.44507962,0.54497975,0.58214223,0.43620616,2419,805,1095,519
80,100.23528,0.2282564,0.44507962,0.5448572,0.58205193,0.4363448,2419,805,1095,519
81,99.938774,0.2282564,0.44426298,0.5447336,0.58196205,0.43648398,2419,805,1095,519
82,99.64291,0.2282564,0.44467127,0.5446099,0.58187157,0.436624,2419,805,1095,519
83,99.34491,0.22866476,0.44467127,0.5444891,0.5817771,0.43676966,2419,805,1095,519
84,99.05453,0.22866476,0.44385463,0.5443679,0.5816877,0.43690535,2419,805,1095,519
85,98.76344,0.22866476,0.44385463,0.5442467,0.58159703,0.4370426,2419,805,1095,519
86,98.473495,0.22866476,0.44426298,0.5441249,0.5815066,0.43717977,2419,805,1095,519
87,98.18682,0.22866476,0.44344628,0.54400635,0.581416,0.43731442,2419,805,1095,519
88,97.89496,0.22988975,0.44385463,0.5438866,0.5813218,0.43745917,2419,805,1095,519
89,97.60869,0.22988975,0.44385463,0.54376596,0.58123136,0.43759495,2419,805,1095,519
90,97.32498,0.22988975,0.44426298,0.54364717,0.5811412,0.43772885,2419,805,1095,519
91,97.042725,0.22988975,0.44426298,0.5435304,0.58105075,0.43786368,2419,805,1095,519
92,96.7578,0.2302981,0.44467127,0.5434148,0.5809563,0.43800482,2419,805,1095,519
