SVM_C(2**),SVM_gamma(2**),Etr,Eval
-15.0,-15.0,0.19011111111111112,0.192
-15.0,-14.0,0.19,0.192
-15.0,-13.0,0.18988888888888886,0.192
-15.0,-12.0,0.18977777777777774,0.192
-15.0,-11.0,0.18955555555555553,0.192
-15.0,-10.0,0.18955555555555553,0.191
-15.0,-9.0,0.1891111111111111,0.19
-15.0,-8.0,0.18844444444444444,0.191
-15.0,-7.0,0.18677777777777776,0.18700000000000003
-15.0,-6.0,0.18355555555555558,0.183
-15.0,-5.0,0.17911111111111105,0.181
-15.0,-4.0,0.176,0.17300000000000004
-15.0,-3.0,0.1742222222222222,0.17100000000000004
-15.0,-2.0,0.17088888888888887,0.17
-15.0,-1.0,0.17033333333333336,0.168
-15.0,0.0,0.16766666666666666,0.16699999999999998
-15.0,1.0,0.16244444444444445,0.16499999999999998
-15.0,2.0,0.16088888888888891,0.168
-15.0,3.0,0.16100000000000003,0.18299999999999997
-15.0,4.0,0.15900000000000003,0.195
-15.0,5.0,0.1502222222222222,0.22199999999999998
-15.0,6.0,0.1241111111111111,0.26099999999999995
-15.0,7.0,0.08588888888888892,0.32999999999999996
-15.0,8.0,0.04177777777777779,0.40800000000000003
-15.0,9.0,0.02055555555555555,0.523
-15.0,10.0,0.006444444444444452,0.603
-15.0,11.0,0.0009999999999999564,0.659
-15.0,12.0,0.0009999999999999564,0.722
-15.0,13.0,0.0008888888888888502,0.776
-15.0,14.0,0.0007777777777777439,0.785
-15.0,15.0,0.0007777777777777439,0.796
-14.0,-15.0,0.19011111111111112,0.192
-14.0,-14.0,0.19,0.192
-14.0,-13.0,0.18988888888888886,0.192
-14.0,-12.0,0.18977777777777774,0.192
-14.0,-11.0,0.18955555555555553,0.192
-14.0,-10.0,0.18955555555555553,0.191
-14.0,-9.0,0.1891111111111111,0.19
-14.0,-8.0,0.18844444444444444,0.191
-14.0,-7.0,0.18677777777777776,0.18700000000000003
-14.0,-6.0,0.18355555555555558,0.183
-14.0,-5.0,0.17911111111111105,0.181
-14.0,-4.0,0.176,0.17300000000000004
-14.0,-3.0,0.1742222222222222,0.17100000000000004
-14.0,-2.0,0.17088888888888887,0.17
-14.0,-1.0,0.17033333333333336,0.168
-14.0,0.0,0.16766666666666666,0.16699999999999998
-14.0,1.0,0.16244444444444445,0.16499999999999998
-14.0,2.0,0.16088888888888891,0.168
-14.0,3.0,0.16100000000000003,0.18299999999999997
-14.0,4.0,0.15900000000000003,0.195
-14.0,5.0,0.1502222222222222,0.22199999999999998
